source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
M-TP,,2020-02-27 20:00:26,❤️❤️❤️ 🌻🌻🌻 Ở nhà cuồng chân nên lên kế hoạch cho một mùa hè ngao du khắp Việt Nam mình..!!! Chỉ chờ ngày nắng đẹp xua tan màn đêm..!!! I am readyyy!!! And youuuuu...??? Let’s hunt for experiences...!!!! #BitisHunter #NonstopHuntingforExperiences #SonTungMTP #DivaTraiNghiem,M-TP và 110K người khác,73K,"2,1K",34K,163,56,9,9.675 bình luậ,3334513866562293,/story.php?story_fbid=3334513866562293&id=309972372349806
M-TP,,2020-02-26 16:44:17,🌓🌓🌓,M-TP và 526K người khác,386K,"9,7K",126K,"2,6K",1K,138,32.765 bình luậ,3331847006828979,/story.php?story_fbid=3331847006828979&id=309972372349806
M-TP,,2020-02-18 12:17:41,🐡🐡🐡 💋💋💋,M-TP và 399K người khác,275K,6K,115K,"1,2K",358,65,31.160 bình luậ,3313030768710603,/story.php?story_fbid=3313030768710603&id=309972372349806
M-TP,,2020-02-13 20:22:16,🌻🌻🌻 🐡🐡🐡,M-TP và 266K người khác,184K,"3,5K",78K,428,182,32,22.183 bình luậ,3302256066454740,/story.php?story_fbid=3302256066454740&id=309972372349806
M-TP,,2020-01-27 14:03:35,"An old picture sent from my aunt!!! Look at his cheerful face 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ I bet that was how I felt when receiving a new gift from someone ... 🌻🌻🌻 Human nature never changes, So far I still grin from ear to ear when holding something new on my hands 😆😆😆",M-TP và 271K người khác,191K,15K,64K,459,142,14,17.743 bình luậ,3263540320326315,/story.php?story_fbid=3263540320326315&id=309972372349806
M-TP,,2020-01-25 01:08:21,"Chúc mừng năm mới 2020 !!!!!!! 🌻🌻🌻 Chúc cho mọi người sẽ có một năm mới tràn ngập hạnh phúc,tràn ngập niềm vui,tràn ngập may mắn trong cuộc sống cũng như trong công việc nhé và đặc biệt là phải có một sức khoẻ thật tốt để vượt qua mọi thử thách,mọi khó khăn đang chờ chúng ta ở phía trước ... Nhớ rằng có sức khoẻ là có tất cả nhaaa ! 🍾🍾🍾 Chúc cho chúng ta sẽ có một năm thật thăng hoaaaaaaaaa !!!!! ❤️❤️❤️ Happy lunar new year￼ !!!!",M-TP và 584K người khác,426K,"4,9K",152K,424,147,44,22.996 bình luậ,3257784687568545,/story.php?story_fbid=3257784687568545&id=309972372349806
M-TP,,2020-01-14 23:10:43,Singing in the house !!!! 🌻🌻🌻Đang hát trong nhà!!!! 🌻🌻🌻 ,M-TP và 312K người khác,199K,"4,9K",107K,686,435,57,22.527 bình luậ,3235409059806108,/story.php?story_fbid=3235409059806108&id=309972372349806
M-TP,,2020-01-13 12:07:42,"Cảm ơn Wechoice đã cho Tùng đi qua hàng ngàn những cảm xúc tuyệt vời đêm qua .... 🌻🌻🌻 Wechoice à ... Hãy luôn giữ vững ngọn lửa nhân văn này,nhân rộng và lan toả ra ngoài xa hội nhé ! Hãy cùng nhau tao nên một cuộc sống tràn ngập ánh sáng của niềm tin và yêu thương .... !!!! ❤️❤️❤️",M-TP và 152K người khác,99K,"2,3K",50K,164,65,9,16.046 bình luậ,3231810273499320,/story.php?story_fbid=3231810273499320&id=309972372349806
M-TP,,2020-01-12 14:34:29,HÀ NỘI đêm qua đẹp quá !!!!! ❤️❤️❤️ 🌻🌻🌻,M-TP và 190K người khác,128K,"2,8K",58K,235,136,17,16.558 bình luậ,3229542563726091,/story.php?story_fbid=3229542563726091&id=309972372349806
M-TP,,2020-01-11 14:56:41,Một câu chuyện tích cực và tràn đầy cảm hứng có thể thay đổi được hàng ngàn cuộc sống tiêu cực ngoài kia .... 🌻🌻🌻 #wechoice2019,M-TP và 86K người khác,60K,"1,6K",24K,91,67,11,7.445 bình luậ,3227032403977107,/story.php?story_fbid=3227032403977107&id=309972372349806
M-TP,,2020-01-07 19:09:05,What time are we going to school tomorrow morning ??? 😂😂😂 Really wanna go back in time when looking at this picture !!! 😆😆😆Sáng mai mấy giờ chúng ta đi học ??? 😂😂😂 Thật sự muốn quay ngược thời gian khi nhìn vào bức ảnh này !!! 😆😆😆,M-TP và 303K người khác,219K,11K,71K,462,336,52,24.850 bình luậ,3218069944873353,/story.php?story_fbid=3218069944873353&id=309972372349806
M-TP,,2020-01-05 13:31:12,Đà Nẵng đêm qua không thể tuyệt vời hơnnnnn 🙏🙏🙏 Chân thành cảm ơnnnnn 💋💋💋,M-TP và 243K người khác,164K,"4,5K",73K,371,178,19,19.408 bình luậ,3212746845405663,/story.php?story_fbid=3212746845405663&id=309972372349806
M-TP,,2020-01-01 13:05:00,2020 ..... !!!! 🌻🌻🌻 Một đêm tuyệt vời ... Cảm ơn Sài Gòn đã luôn yêu thương tấm thân nhỏ bé này ...... 🍾🍾🍾 Chúc mừng năm mới nhé bà con ơiiiiii !!! 🥂🥂🥂,M-TP và 214K người khác,146K,"3,3K",63K,185,97,19,16.777 bình luậ,3203237499689931,/story.php?story_fbid=3203237499689931&id=309972372349806
M-TP,,2019-12-29 12:53:04,Hải Phòng .... 🌻🌻🌻 Cảm ơn vì đã cùng Tùng đốt cháy mùa đông đêm quaaaaaaa .... 🙏🙏🙏,M-TP và 172K người khác,114K,"2,9K",54K,205,123,14,15.534 bình luậ,3195724613774553,/story.php?story_fbid=3195724613774553&id=309972372349806
M-TP,,2019-12-28 12:39:32,Let’s take a look back at a few beautiful moments at the Cuc Im Lang exhibition last night....!! The atmosphere of the exhibition was so marvelous and￼ brought me a lot of different magical emotions I want to say thanks to Cong Tri for inviting me  🙏🙏🙏Cùng xem lại vài khoảnh khắc đẹp tại triển lãm Cúc Im Lang tối qua nhé....!! Bầu không khí của triển lãm thật tuyệt vời và￼ mang đến cho tôi rất nhiều cảm xúc kỳ diệu khác nhau Tôi muốn gửi lời cảm ơn đến Công Trí vì đã mời tôi 🙏🙏🙏 ,M-TP và 137K người khác,94K,"2,3K",39K,156,50,7,12.090 bình luậ,3193394777340870,/story.php?story_fbid=3193394777340870&id=309972372349806
M-TP,,2019-12-25 12:27:44,My Christmas last night !!!!!! 🌻🌻🌻 I hope that the people who received my gifts will keep them carefully￼ and show me if we have a chance to meet again in the near future ... !!! I always treasure every￼ moment when I’m with you guys￼ ... Remember that you guys are one of the greatest motivations in my life to make me move forward tirelessly￼￼ .....  🙏🙏🙏 Love you !!! 💋💋💋Giáng sinh của tôi tối qua !!!!!  🌻🌻🌻  Mong rằng những người nhận được quà của tôi sẽ giữ cẩn thận￼ và cho tôi xem nếu chúng ta có cơ hội gặp lại nhau trong tương lai gần...!!! Tôi luôn trân trọng khoảnh khắc khi tôi ở bên các bạn￼..  Hãy nhớ rằng các bạn là một trong những động lực lớn nhất trong cuộc đời tôi để làm cho tôi tiến về phía trước không mệt mỏi..... 🙏🙏🙏 Yêu các bạn!!  💋💋💋 ,M-TP và 316K người khác,216K,"6,8K",93K,532,237,42,22.324 bình luậ,3186332374713777,/story.php?story_fbid=3186332374713777&id=309972372349806
M-TP,,2019-12-23 12:07:26,"There was a boy in green who arrived in Can Tho last night￼  😂😂😂 Thanks for coming and showing me how much you guys love me 🌻🌻🌻 Our love for each other is always like the first day￼ , right ???? ❤️❤️❤️Có một cậu bé màu xanh lá cây đã đến Cần Thơ đêm qua 😂😂😂 Cảm ơn vì đã đến và cho tôi thấy các bạn yêu tôi nhiều đến nhường nào 🌻🌻🌻 Tình yêu của chúng ta dành cho nhau lúc nào cũng như ngày￼ đầu tiên, phải không???? ❤️❤️❤️",M-TP và 205K người khác,138K,"4,3K",62K,251,154,21,19.828 bình luậ,3181568611856820,/story.php?story_fbid=3181568611856820&id=309972372349806
M-TP,,2019-12-18 13:30:35,Một ngày thật sự tuyệt vời !!!! Xin được lưu lại kế hoạch trong năm 2020 của Sơn Tùng M-TP đồng thời của công ty M-TP entertainment ở đây ... Hãy cùng nhau nhìn lại để nhớ và chuẩn bị mở từng gói quà nhé đại gia đình của tôi .... ! 🌻🌻🌻 - Mạng xã hội SKY SOCIAL - Khai trương quán Cafe M-TP and Friends - Phát hành album CHÚNG TA - 3 bài hát sẽ được ra mắt lần lượt với 3 thể loại nhạc khác nhau hoàn toàn ( sẽ cố gắng nhiều hơn con số đó ) - Tổ chức SKY TOUR 2020 - Ra mắt thương hiệu thời trang PLUSEIGHTYFOUR  - Tổ chức M-TP Year End Concert 🍾🍾🍾 Cùng nhau viết lên thật nhiều những kỉ niệm đẹp trong tương lai nào .... ❤️❤️❤️ I LOVE YOU,M-TP và 255K người khác,178K,"3,8K",72K,716,113,47,25.112 bình luậ,3170064353007246,/story.php?story_fbid=3170064353007246&id=309972372349806
M-TP,,2019-12-16 20:00:06,"AI LÀ ""NGON SỐ 1"" NÀO??? 💋💋💋 Cùng Sơn Tùng M-TP “quẩy tung vỉ” với vũ đạo “cuốn rau thêm thịt” ngay nhé!! 🥩🥩🥩  #SonTungMTP #Anhlangonso1  #GoGiHouse #Ngonso1 #GoGiNgonso1",M-TP và 160K người khác,111K,10K,38K,312,134,39,12.845 bình luậ,3165888413424840,/story.php?story_fbid=3165888413424840&id=309972372349806
M-TP,,2019-12-16 13:13:50,Đêm qua âu vờ laiiiiiiiiii Quá tuyệt vờiiiiiiiiiiiiiiiiiiii SAI GON is always sexy￼ in its way !!!!! 💋💋💋,M-TP và 244K người khác,170K,"5,6K",68K,391,218,34,20.416 bình luậ,3165323160148032,/story.php?story_fbid=3165323160148032&id=309972372349806
M-TP,,2019-12-15 13:26:52,Một đêm tuyệt vời !!!!!! Cảm ơn rất nhìuuuuuuuuu 🌻🌻🌻,M-TP và 150K người khác,101K,"2,7K",46K,159,97,20,15.683 bình luậ,3162976767049338,/story.php?story_fbid=3162976767049338&id=309972372349806
M-TP,,2019-12-15 00:00:08,"Cho dù bạn là ai, cho dù bạn ở đâu, gia đình sẽ luôn là nguồn động lực quý giá, luôn tin tưởng và ủng hộ bạn. Tết này về nhà cùng OPPO với Tùng nhé! Về nhà, về với những tình cảm luôn dõi theo ta. #venhacungOPPO",M-TP và 179K người khác,124K,"4,6K",50K,197,310,25,11.647 bình luậ,3160448197302195,/story.php?story_fbid=3160448197302195&id=309972372349806
M-TP,,2019-12-12 20:00:09,Nguồn động lực luôn thôi thúc bạn cố gắng mỗi ngày là gì? Có khi nào bạn nhìn lại chặng đường đã qua đầy hối tiếc hay không? Hãy cùng chờ đón sự kết hợp mới nhất giữa OPPO và Sơn Tùng M-TP để giải đáp những câu hỏi này nhé.,M-TP và 140K người khác,91K,"2,9K",45K,277,175,17,14.760 bình luậ,3156049824408699,/story.php?story_fbid=3156049824408699&id=309972372349806
source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
M-TP,,2020-03-03 12:00:00,"Hãy khui theo Tùng nào Skyyyy ơi!!! Ai khui thì giơ tay 🖐 👉 Đếm ngược tới 0 giờ, 06/03 để khui cùng nhau nha! Hẹn giờ ngay kẻo lỡ 🤘 💬 Có ai đoán được Tùng khui gì không nào?!?! #SonTungMTP #Khui #KhuiGiVuiThe",M-TP và 118K người khác,78K,"3,6K",36K,378,103,18,12.318 bình luậ,3345948562085490,/story.php?story_fbid=3345948562085490&id=309972372349806
M-TP,,2020-03-01 11:39:48,📷📷📷 🥂🥂🥂 💋💋💋,M-TP và 456K người khác,332K,"5,2K",117K,1K,341,77,27.440 bình luậ,3341220019225011,/story.php?story_fbid=3341220019225011&id=309972372349806
M-TP,,2020-02-27 20:00:26,❤️❤️❤️ 🌻🌻🌻 Ở nhà cuồng chân nên lên kế hoạch cho một mùa hè ngao du khắp Việt Nam mình..!!! Chỉ chờ ngày nắng đẹp xua tan màn đêm..!!! I am readyyy!!! And youuuuu...??? Let’s hunt for experiences...!!!! #BitisHunter #NonstopHuntingforExperiences #SonTungMTP #DivaTraiNghiem,M-TP và 110K người khác,73K,"2,1K",34K,163,56,9,9.682 bình luậ,3334513866562293,/story.php?story_fbid=3334513866562293&id=309972372349806
M-TP,,2020-02-26 16:44:17,🌓🌓🌓,M-TP và 526K người khác,386K,"9,7K",126K,"2,6K",1K,138,32.775 bình luậ,3331847006828979,/story.php?story_fbid=3331847006828979&id=309972372349806
M-TP,,2020-02-18 12:17:41,🐡🐡🐡 💋💋💋,M-TP và 399K người khác,275K,6K,115K,"1,2K",358,65,31.169 bình luậ,3313030768710603,/story.php?story_fbid=3313030768710603&id=309972372349806
M-TP,,2020-02-13 20:22:16,🌻🌻🌻 🐡🐡🐡,M-TP và 266K người khác,184K,"3,5K",78K,428,182,32,22.187 bình luậ,3302256066454740,/story.php?story_fbid=3302256066454740&id=309972372349806
M-TP,,2020-01-27 14:03:35,"An old picture sent from my aunt!!! Look at his cheerful face 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ I bet that was how I felt when receiving a new gift from someone ... 🌻🌻🌻 Human nature never changes, So far I still grin from ear to ear when holding something new on my hands 😆😆😆",M-TP và 271K người khác,191K,15K,64K,459,142,14,17.747 bình luậ,3263540320326315,/story.php?story_fbid=3263540320326315&id=309972372349806
M-TP,,2020-01-25 01:08:21,"Chúc mừng năm mới 2020 !!!!!!! 🌻🌻🌻 Chúc cho mọi người sẽ có một năm mới tràn ngập hạnh phúc,tràn ngập niềm vui,tràn ngập may mắn trong cuộc sống cũng như trong công việc nhé và đặc biệt là phải có một sức khoẻ thật tốt để vượt qua mọi thử thách,mọi khó khăn đang chờ chúng ta ở phía trước ... Nhớ rằng có sức khoẻ là có tất cả nhaaa ! 🍾🍾🍾 Chúc cho chúng ta sẽ có một năm thật thăng hoaaaaaaaaa !!!!! ❤️❤️❤️ Happy lunar new year￼ !!!!",M-TP và 584K người khác,426K,"4,9K",152K,424,147,44,23.001 bình luậ,3257784687568545,/story.php?story_fbid=3257784687568545&id=309972372349806
M-TP,,2020-01-14 23:10:43,Singing in the house !!!! 🌻🌻🌻Đang hát trong nhà!!!! 🌻🌻🌻 ,M-TP và 312K người khác,199K,"4,9K",107K,686,435,57,22.530 bình luậ,3235409059806108,/story.php?story_fbid=3235409059806108&id=309972372349806
M-TP,,2020-01-13 12:07:42,"Cảm ơn Wechoice đã cho Tùng đi qua hàng ngàn những cảm xúc tuyệt vời đêm qua .... 🌻🌻🌻 Wechoice à ... Hãy luôn giữ vững ngọn lửa nhân văn này,nhân rộng và lan toả ra ngoài xa hội nhé ! Hãy cùng nhau tao nên một cuộc sống tràn ngập ánh sáng của niềm tin và yêu thương .... !!!! ❤️❤️❤️",M-TP và 152K người khác,99K,"2,3K",50K,164,65,9,16.048 bình luậ,3231810273499320,/story.php?story_fbid=3231810273499320&id=309972372349806
M-TP,,2020-01-12 14:34:29,HÀ NỘI đêm qua đẹp quá !!!!! ❤️❤️❤️ 🌻🌻🌻,M-TP và 190K người khác,128K,"2,8K",58K,235,136,17,16.561 bình luậ,3229542563726091,/story.php?story_fbid=3229542563726091&id=309972372349806
M-TP,,2020-01-11 14:56:41,Một câu chuyện tích cực và tràn đầy cảm hứng có thể thay đổi được hàng ngàn cuộc sống tiêu cực ngoài kia .... 🌻🌻🌻 #wechoice2019,M-TP và 86K người khác,60K,"1,6K",24K,91,67,11,7.446 bình luậ,3227032403977107,/story.php?story_fbid=3227032403977107&id=309972372349806
M-TP,,2020-01-07 19:09:05,What time are we going to school tomorrow morning ??? 😂😂😂 Really wanna go back in time when looking at this picture !!! 😆😆😆Sáng mai mấy giờ chúng ta đi học ??? 😂😂😂 Thật sự muốn quay ngược thời gian khi nhìn vào bức ảnh này !!! 😆😆😆,M-TP và 303K người khác,219K,11K,71K,462,336,52,24.853 bình luậ,3218069944873353,/story.php?story_fbid=3218069944873353&id=309972372349806
M-TP,,2020-01-05 13:31:12,Đà Nẵng đêm qua không thể tuyệt vời hơnnnnn 🙏🙏🙏 Chân thành cảm ơnnnnn 💋💋💋,M-TP và 243K người khác,164K,"4,5K",73K,371,178,19,19.409 bình luậ,3212746845405663,/story.php?story_fbid=3212746845405663&id=309972372349806
M-TP,,2020-01-01 13:05:00,2020 ..... !!!! 🌻🌻🌻 Một đêm tuyệt vời ... Cảm ơn Sài Gòn đã luôn yêu thương tấm thân nhỏ bé này ...... 🍾🍾🍾 Chúc mừng năm mới nhé bà con ơiiiiii !!! 🥂🥂🥂,M-TP và 214K người khác,146K,"3,3K",63K,185,97,19,16.778 bình luậ,3203237499689931,/story.php?story_fbid=3203237499689931&id=309972372349806
M-TP,,2019-12-29 12:53:04,Hải Phòng .... 🌻🌻🌻 Cảm ơn vì đã cùng Tùng đốt cháy mùa đông đêm quaaaaaaa .... 🙏🙏🙏,M-TP và 172K người khác,114K,"2,9K",54K,205,123,14,15.535 bình luậ,3195724613774553,/story.php?story_fbid=3195724613774553&id=309972372349806
M-TP,,2019-12-28 12:39:32,Let’s take a look back at a few beautiful moments at the Cuc Im Lang exhibition last night....!! The atmosphere of the exhibition was so marvelous and￼ brought me a lot of different magical emotions I want to say thanks to Cong Tri for inviting me  🙏🙏🙏Cùng xem lại vài khoảnh khắc đẹp tại triển lãm Cúc Im Lang tối qua nhé....!! Bầu không khí của triển lãm thật tuyệt vời và￼ mang đến cho tôi rất nhiều cảm xúc kỳ diệu khác nhau Tôi muốn gửi lời cảm ơn đến Công Trí vì đã mời tôi 🙏🙏🙏 ,M-TP và 137K người khác,94K,"2,3K",39K,156,50,7,12.091 bình luậ,3193394777340870,/story.php?story_fbid=3193394777340870&id=309972372349806
M-TP,,2019-12-25 12:27:44,My Christmas last night !!!!!! 🌻🌻🌻 I hope that the people who received my gifts will keep them carefully￼ and show me if we have a chance to meet again in the near future ... !!! I always treasure every￼ moment when I’m with you guys￼ ... Remember that you guys are one of the greatest motivations in my life to make me move forward tirelessly￼￼ .....  🙏🙏🙏 Love you !!! 💋💋💋Giáng sinh của tôi tối qua !!!!!  🌻🌻🌻  Mong rằng những người nhận được quà của tôi sẽ giữ cẩn thận￼ và cho tôi xem nếu chúng ta có cơ hội gặp lại nhau trong tương lai gần...!!! Tôi luôn trân trọng khoảnh khắc khi tôi ở bên các bạn￼..  Hãy nhớ rằng các bạn là một trong những động lực lớn nhất trong cuộc đời tôi để làm cho tôi tiến về phía trước không mệt mỏi..... 🙏🙏🙏 Yêu các bạn!!  💋💋💋 ,M-TP và 316K người khác,216K,"6,8K",93K,531,237,42,22.325 bình luậ,3186332374713777,/story.php?story_fbid=3186332374713777&id=309972372349806
source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
M-TP,,2020-03-03 12:00:00,"Hãy khui theo Tùng nào Skyyyy ơi!!! Ai khui thì giơ tay 🖐 👉 Đếm ngược tới 0 giờ, 06/03 để khui cùng nhau nha! Hẹn giờ ngay kẻo lỡ 🤘 💬 Có ai đoán được Tùng khui gì không nào?!?! #SonTungMTP #Khui #KhuiGiVuiThe",M-TP và 119K người khác,78K,"3,7K",36K,381,103,18,12.339 bình luậ,3345948562085490,/story.php?story_fbid=3345948562085490&id=309972372349806
M-TP,,2020-03-01 11:39:48,📷📷📷 🥂🥂🥂 💋💋💋,M-TP và 456K người khác,332K,"5,2K",117K,1K,341,77,27.440 bình luậ,3341220019225011,/story.php?story_fbid=3341220019225011&id=309972372349806
M-TP,,2020-02-27 20:00:26,❤️❤️❤️ 🌻🌻🌻 Ở nhà cuồng chân nên lên kế hoạch cho một mùa hè ngao du khắp Việt Nam mình..!!! Chỉ chờ ngày nắng đẹp xua tan màn đêm..!!! I am readyyy!!! And youuuuu...??? Let’s hunt for experiences...!!!! #BitisHunter #NonstopHuntingforExperiences #SonTungMTP #DivaTraiNghiem,M-TP và 110K người khác,73K,"2,1K",34K,163,56,9,9.682 bình luậ,3334513866562293,/story.php?story_fbid=3334513866562293&id=309972372349806
M-TP,,2020-02-26 16:44:17,🌓🌓🌓,M-TP và 526K người khác,386K,"9,7K",126K,"2,6K",1K,138,32.776 bình luậ,3331847006828979,/story.php?story_fbid=3331847006828979&id=309972372349806
M-TP,,2020-02-18 12:17:41,🐡🐡🐡 💋💋💋,M-TP và 399K người khác,275K,6K,115K,"1,2K",358,65,31.169 bình luậ,3313030768710603,/story.php?story_fbid=3313030768710603&id=309972372349806
M-TP,,2020-02-13 20:22:16,🌻🌻🌻 🐡🐡🐡,M-TP và 266K người khác,184K,"3,5K",78K,428,182,32,22.187 bình luậ,3302256066454740,/story.php?story_fbid=3302256066454740&id=309972372349806
M-TP,,2020-01-27 14:03:35,"An old picture sent from my aunt!!! Look at his cheerful face 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ I bet that was how I felt when receiving a new gift from someone ... 🌻🌻🌻 Human nature never changes, So far I still grin from ear to ear when holding something new on my hands 😆😆😆",M-TP và 271K người khác,191K,15K,64K,459,142,14,17.747 bình luậ,3263540320326315,/story.php?story_fbid=3263540320326315&id=309972372349806
M-TP,,2020-01-25 01:08:21,"Chúc mừng năm mới 2020 !!!!!!! 🌻🌻🌻 Chúc cho mọi người sẽ có một năm mới tràn ngập hạnh phúc,tràn ngập niềm vui,tràn ngập may mắn trong cuộc sống cũng như trong công việc nhé và đặc biệt là phải có một sức khoẻ thật tốt để vượt qua mọi thử thách,mọi khó khăn đang chờ chúng ta ở phía trước ... Nhớ rằng có sức khoẻ là có tất cả nhaaa ! 🍾🍾🍾 Chúc cho chúng ta sẽ có một năm thật thăng hoaaaaaaaaa !!!!! ❤️❤️❤️ Happy lunar new year￼ !!!!",M-TP và 584K người khác,426K,"4,9K",152K,424,146,44,23.002 bình luậ,3257784687568545,/story.php?story_fbid=3257784687568545&id=309972372349806
M-TP,,2020-01-14 23:10:43,Singing in the house !!!! 🌻🌻🌻Đang hát trong nhà!!!! 🌻🌻🌻 ,M-TP và 312K người khác,199K,"4,9K",107K,686,435,57,22.530 bình luậ,3235409059806108,/story.php?story_fbid=3235409059806108&id=309972372349806
M-TP,,2020-01-13 12:07:42,"Cảm ơn Wechoice đã cho Tùng đi qua hàng ngàn những cảm xúc tuyệt vời đêm qua .... 🌻🌻🌻 Wechoice à ... Hãy luôn giữ vững ngọn lửa nhân văn này,nhân rộng và lan toả ra ngoài xa hội nhé ! Hãy cùng nhau tao nên một cuộc sống tràn ngập ánh sáng của niềm tin và yêu thương .... !!!! ❤️❤️❤️",M-TP và 152K người khác,99K,"2,3K",50K,164,65,9,16.048 bình luậ,3231810273499320,/story.php?story_fbid=3231810273499320&id=309972372349806
source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
M-TP,,2020-03-03 12:00:00,"Hãy khui theo Tùng nào Skyyyy ơi!!! Ai khui thì giơ tay 🖐 👉 Đếm ngược tới 0 giờ, 06/03 để khui cùng nhau nha! Hẹn giờ ngay kẻo lỡ 🤘 💬 Có ai đoán được Tùng khui gì không nào?!?! #SonTungMTP #Khui #KhuiGiVuiThe",M-TP và 119K người khác,78K,"3,7K",36K,381,103,18,12.345 bình luậ,3345948562085490,/story.php?story_fbid=3345948562085490&id=309972372349806
M-TP,,2020-03-01 11:39:48,📷📷📷 🥂🥂🥂 💋💋💋,M-TP và 456K người khác,332K,"5,2K",117K,1K,341,77,27.441 bình luậ,3341220019225011,/story.php?story_fbid=3341220019225011&id=309972372349806
M-TP,,2020-02-27 20:00:26,❤️❤️❤️ 🌻🌻🌻 Ở nhà cuồng chân nên lên kế hoạch cho một mùa hè ngao du khắp Việt Nam mình..!!! Chỉ chờ ngày nắng đẹp xua tan màn đêm..!!! I am readyyy!!! And youuuuu...??? Let’s hunt for experiences...!!!! #BitisHunter #NonstopHuntingforExperiences #SonTungMTP #DivaTraiNghiem,M-TP và 110K người khác,73K,"2,1K",34K,163,56,9,9.682 bình luậ,3334513866562293,/story.php?story_fbid=3334513866562293&id=309972372349806
M-TP,,2020-02-26 16:44:17,🌓🌓🌓,M-TP và 526K người khác,386K,"9,7K",126K,"2,6K",1K,138,32.776 bình luậ,3331847006828979,/story.php?story_fbid=3331847006828979&id=309972372349806
M-TP,,2020-02-18 12:17:41,🐡🐡🐡 💋💋💋,M-TP và 399K người khác,275K,6K,115K,"1,2K",358,65,31.169 bình luậ,3313030768710603,/story.php?story_fbid=3313030768710603&id=309972372349806
M-TP,,2020-02-13 20:22:16,🌻🌻🌻 🐡🐡🐡,M-TP và 266K người khác,184K,"3,5K",78K,428,182,32,22.187 bình luậ,3302256066454740,/story.php?story_fbid=3302256066454740&id=309972372349806
M-TP,,2020-01-27 14:03:35,"An old picture sent from my aunt!!! Look at his cheerful face 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ I bet that was how I felt when receiving a new gift from someone ... 🌻🌻🌻 Human nature never changes, So far I still grin from ear to ear when holding something new on my hands 😆😆😆",M-TP và 271K người khác,191K,15K,64K,459,142,14,17.747 bình luậ,3263540320326315,/story.php?story_fbid=3263540320326315&id=309972372349806
M-TP,,2020-01-25 01:08:21,"Chúc mừng năm mới 2020 !!!!!!! 🌻🌻🌻 Chúc cho mọi người sẽ có một năm mới tràn ngập hạnh phúc,tràn ngập niềm vui,tràn ngập may mắn trong cuộc sống cũng như trong công việc nhé và đặc biệt là phải có một sức khoẻ thật tốt để vượt qua mọi thử thách,mọi khó khăn đang chờ chúng ta ở phía trước ... Nhớ rằng có sức khoẻ là có tất cả nhaaa ! 🍾🍾🍾 Chúc cho chúng ta sẽ có một năm thật thăng hoaaaaaaaaa !!!!! ❤️❤️❤️ Happy lunar new year￼ !!!!",M-TP và 584K người khác,426K,"4,9K",152K,424,146,44,23.002 bình luậ,3257784687568545,/story.php?story_fbid=3257784687568545&id=309972372349806
M-TP,,2020-01-14 23:10:43,Singing in the house !!!! 🌻🌻🌻Đang hát trong nhà!!!! 🌻🌻🌻 ,M-TP và 312K người khác,199K,"4,9K",107K,686,435,57,22.530 bình luậ,3235409059806108,/story.php?story_fbid=3235409059806108&id=309972372349806
M-TP,,2020-01-13 12:07:42,"Cảm ơn Wechoice đã cho Tùng đi qua hàng ngàn những cảm xúc tuyệt vời đêm qua .... 🌻🌻🌻 Wechoice à ... Hãy luôn giữ vững ngọn lửa nhân văn này,nhân rộng và lan toả ra ngoài xa hội nhé ! Hãy cùng nhau tao nên một cuộc sống tràn ngập ánh sáng của niềm tin và yêu thương .... !!!! ❤️❤️❤️",M-TP và 152K người khác,99K,"2,3K",50K,164,65,9,16.048 bình luậ,3231810273499320,/story.php?story_fbid=3231810273499320&id=309972372349806
M-TP,,2020-01-12 14:34:29,HÀ NỘI đêm qua đẹp quá !!!!! ❤️❤️❤️ 🌻🌻🌻,M-TP và 190K người khác,128K,"2,8K",58K,235,136,17,16.561 bình luậ,3229542563726091,/story.php?story_fbid=3229542563726091&id=309972372349806
M-TP,,2020-01-11 14:56:41,Một câu chuyện tích cực và tràn đầy cảm hứng có thể thay đổi được hàng ngàn cuộc sống tiêu cực ngoài kia .... 🌻🌻🌻 #wechoice2019,M-TP và 86K người khác,60K,"1,6K",24K,91,67,11,7.446 bình luậ,3227032403977107,/story.php?story_fbid=3227032403977107&id=309972372349806
M-TP,,2020-01-07 19:09:05,What time are we going to school tomorrow morning ??? 😂😂😂 Really wanna go back in time when looking at this picture !!! 😆😆😆Sáng mai mấy giờ chúng ta đi học ??? 😂😂😂 Thật sự muốn quay ngược thời gian khi nhìn vào bức ảnh này !!! 😆😆😆,M-TP và 303K người khác,219K,11K,71K,462,336,52,24.853 bình luậ,3218069944873353,/story.php?story_fbid=3218069944873353&id=309972372349806
M-TP,,2020-01-05 13:31:12,Đà Nẵng đêm qua không thể tuyệt vời hơnnnnn 🙏🙏🙏 Chân thành cảm ơnnnnn 💋💋💋,M-TP và 243K người khác,164K,"4,5K",73K,371,178,19,19.409 bình luậ,3212746845405663,/story.php?story_fbid=3212746845405663&id=309972372349806
